|W|	SIw	P	R	F1	Poids(w,t)	Classifieur	TrainSetType	Category
70	rf	1.0	0.03225806451612903	0.0625	logtfSIw * rf	NBM	part-queries-with-paragraph_text	p2
70	rf	0.8620689655172413	0.8064516129032258	0.8333333333333334	logtfSIw * rf	NB	part-queries-with-paragraph_text	p2
70	rf	0.8928571428571429	0.8064516129032258	0.8474576271186439	logtfSIw * rf	KNN	part-queries-with-paragraph_text	p2
70	rf	1.0	0.03225806451612903	0.0625	logtfSIw * rf	SVM	part-queries-with-paragraph_text	p2
70	chi	0.8571428571428571	0.7741935483870968	0.8135593220338982	logtfSIw * chi	J48	part-queries-with-paragraph_text	p2
70	chi	0.7222222222222222	0.41935483870967744	0.5306122448979592	logtfSIw * chi	NBM	part-queries-with-paragraph_text	p2
70	chi	0.7567567567567568	0.9032258064516129	0.823529411764706	logtfSIw * chi	NB	part-queries-with-paragraph_text	p2
70	chi	0.8823529411764706	0.967741935483871	0.923076923076923	logtfSIw * chi	KNN	part-queries-with-paragraph_text	p2
70	chi	0.7619047619047619	0.5161290322580645	0.6153846153846153	logtfSIw * chi	SVM	part-queries-with-paragraph_text	p2
70	ngl	0.875	0.6774193548387096	0.7636363636363636	logtfSIw * ngl	J48	part-queries-with-paragraph_text	p2
70	ngl	0.9090909090909091	0.3225806451612903	0.4761904761904761	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	p2
70	ngl	0.7631578947368421	0.9354838709677419	0.8405797101449276	logtfSIw * ngl	NB	part-queries-with-paragraph_text	p2
70	ngl	0.8787878787878788	0.9354838709677419	0.90625	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	p2
70	ngl	0.75	0.3870967741935484	0.5106382978723403	logtfSIw * ngl	SVM	part-queries-with-paragraph_text	p2
90	rf	0.9230769230769231	0.3870967741935484	0.5454545454545454	logtfSIw * rf	J48	part-queries-with-paragraph_text	p2
90	rf	1.0	0.03225806451612903	0.0625	logtfSIw * rf	NBM	part-queries-with-paragraph_text	p2
90	rf	0.8333333333333334	0.8064516129032258	0.819672131147541	logtfSIw * rf	NB	part-queries-with-paragraph_text	p2
90	rf	0.896551724137931	0.8387096774193549	0.8666666666666666	logtfSIw * rf	KNN	part-queries-with-paragraph_text	p2
90	rf	1.0	0.06451612903225806	0.12121212121212122	logtfSIw * rf	SVM	part-queries-with-paragraph_text	p2
90	chi	0.9166666666666666	0.7096774193548387	0.7999999999999999	logtfSIw * chi	J48	part-queries-with-paragraph_text	p2
90	chi	0.7	0.45161290322580644	0.5490196078431372	logtfSIw * chi	NBM	part-queries-with-paragraph_text	p2
90	chi	0.75	0.8709677419354839	0.8059701492537312	logtfSIw * chi	NB	part-queries-with-paragraph_text	p2
90	chi	0.9032258064516129	0.9032258064516129	0.9032258064516129	logtfSIw * chi	KNN	part-queries-with-paragraph_text	p2
90	chi	0.7894736842105263	0.4838709677419355	0.6	logtfSIw * chi	SVM	part-queries-with-paragraph_text	p2
90	ngl	0.9090909090909091	0.6451612903225806	0.7547169811320754	logtfSIw * ngl	J48	part-queries-with-paragraph_text	p2
90	ngl	0.8181818181818182	0.2903225806451613	0.4285714285714286	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	p2
90	ngl	0.7567567567567568	0.9032258064516129	0.823529411764706	logtfSIw * ngl	NB	part-queries-with-paragraph_text	p2
90	ngl	0.9	0.8709677419354839	0.8852459016393444	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	p2
90	ngl	0.8333333333333334	0.4838709677419355	0.6122448979591837	logtfSIw * ngl	SVM	part-queries-with-paragraph_text	p2
100	rf	0.9230769230769231	0.3870967741935484	0.5454545454545454	logtfSIw * rf	J48	part-queries-with-paragraph_text	p2
100	rf	1.0	0.03225806451612903	0.0625	logtfSIw * rf	NBM	part-queries-with-paragraph_text	p2
100	rf	0.8333333333333334	0.8064516129032258	0.819672131147541	logtfSIw * rf	NB	part-queries-with-paragraph_text	p2
100	rf	0.896551724137931	0.8387096774193549	0.8666666666666666	logtfSIw * rf	KNN	part-queries-with-paragraph_text	p2
100	rf	1.0	0.06451612903225806	0.12121212121212122	logtfSIw * rf	SVM	part-queries-with-paragraph_text	p2
100	chi	0.8846153846153846	0.7419354838709677	0.8070175438596492	logtfSIw * chi	J48	part-queries-with-paragraph_text	p2
100	chi	0.7	0.45161290322580644	0.5490196078431372	logtfSIw * chi	NBM	part-queries-with-paragraph_text	p2
100	chi	0.7297297297297297	0.8709677419354839	0.7941176470588235	logtfSIw * chi	NB	part-queries-with-paragraph_text	p2
